imgid,userid,bbox_left,bbox_top,bbox_width,bbox_height
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,21,0,35,467,482
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,21,479,45,213,155
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,21,304,198,481,319
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,22,497,87,173,122
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,22,315,225,463,292
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,22,16,41,434,437
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,23,24,33,414,449
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,23,281,214,493,288
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,24,82,49,311,418
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,24,424,158,315,293
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,26,313,179,451,320
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,26,21,20,349,379
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,28,502,94,156,83
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,28,11,41,428,458
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,28,360,223,397,294
static/data/img/Cavalier-with-Pipe-1968.JPG,9,90,0,369,764
static/data/img/Cavalier-with-Pipe-1968.JPG,10,107,27,357,715
static/data/img/Cavalier-with-Pipe-1968.JPG,13,110,14,386,749
static/data/img/Cavalier-with-Pipe-1968.JPG,14,115,8,342,723
static/data/img/Cavalier-with-Pipe-1968.JPG,15,56,9,421,754
static/data/img/Cavalier-with-Pipe-1968.JPG,16,22,0,451,762
static/data/img/Cavalier-with-Pipe-1968.JPG,17,127,6,292,757
static/data/img/Cavalier-with-Pipe-1968.JPG,18,9,4,486,759
static/data/img/Cavalier-with-Pipe-1968.JPG,19,84,21,375,743
static/data/img/Cavalier-with-Pipe-1968.JPG,21,36,63,209,700
static/data/img/Cavalier-with-Pipe-1968.JPG,21,114,9,387,739
static/data/img/Cavalier-with-Pipe-1968.JPG,22,125,6,342,757
static/data/img/Cavalier-with-Pipe-1968.JPG,23,39,7,429,757
static/data/img/Claude-Son-of-Picasso-1948.JPG,3,37,41,454,593
static/data/img/Claude-Son-of-Picasso-1948.JPG,15,51,49,429,598
static/data/img/Claude-Son-of-Picasso-1948.JPG,16,44,49,431,587
static/data/img/Claude-Son-of-Picasso-1948.JPG,17,56,61,391,568
static/data/img/Claude-Son-of-Picasso-1948.JPG,18,18,20,478,635
static/data/img/Claude-Son-of-Picasso-1948.JPG,18,18,20,478,635
static/data/img/Claude-Son-of-Picasso-1948.JPG,18,18,20,478,635
static/data/img/Claude-Son-of-Picasso-1948.JPG,18,18,20,478,635
static/data/img/Claude-Son-of-Picasso-1948.JPG,18,18,20,478,635
static/data/img/Claude-Son-of-Picasso-1948.JPG,19,56,59,427,569
static/data/img/Claude-Son-of-Picasso-1948.JPG,21,36,27,463,624
static/data/img/Claude-Son-of-Picasso-1948.JPG,22,59,65,409,561
static/data/img/Claude-Son-of-Picasso-1948.JPG,23,73,60,402,575
static/data/img/Claude-Son-of-Picasso-1948.JPG,24,59,42,377,462
static/data/img/Claude-Son-of-Picasso-1948.JPG,26,43,44,415,584
static/data/img/Claude-Son-of-Picasso-1948.JPG,28,59,46,410,589
static/data/img/Crucifixion-1930.JPG,3,4,459,202,82
static/data/img/Crucifixion-1930.JPG,3,420,0,234,543
static/data/img/Crucifixion-1930.JPG,3,291,56,118,305
static/data/img/Crucifixion-1930.JPG,3,190,12,257,416
static/data/img/Crucifixion-1930.JPG,3,439,302,98,135
static/data/img/Crucifixion-1930.JPG,3,213,436,139,90
static/data/img/Crucifixion-1930.JPG,3,333,362,87,173
static/data/img/Crucifixion-1930.JPG,3,112,416,207,124
static/data/img/Crucifixion-1930.JPG,3,33,64,179,405
static/data/img/Crucifixion-1930.JPG,6,421,317,154,212
static/data/img/Crucifixion-1930.JPG,6,16,452,213,93
static/data/img/Crucifixion-1930.JPG,6,233,373,182,171
static/data/img/Crucifixion-1930.JPG,6,186,11,245,197
static/data/img/Crucifixion-1930.JPG,9,16,65,235,463
static/data/img/Crucifixion-1930.JPG,9,416,19,207,511
static/data/img/Crucifixion-1930.JPG,9,284,21,129,487
static/data/img/Crucifixion-1930.JPG,10,225,14,198,523
static/data/img/Crucifixion-1930.JPG,10,433,58,113,132
static/data/img/Crucifixion-1930.JPG,10,350,166,1,1
static/data/img/Crucifixion-1930.JPG,10,50,256,171,284
static/data/img/Crucifixion-1930.JPG,10,456,314,129,227
static/data/img/Crucifixion-1930.JPG,10,559,18,97,200
static/data/img/Crucifixion-1930.JPG,22,164,191,28,58
static/data/img/Crucifixion-1930.JPG,22,17,432,288,113
static/data/img/Crucifixion-1930.JPG,22,48,435,266,110
static/data/img/Crucifixion-1930.JPG,22,371,41,224,504
static/data/img/Crucifixion-1930.JPG,22,287,379,134,166
static/data/img/Crucifixion-1930.JPG,22,197,8,96,183
static/data/img/Crucifixion-1930.JPG,22,197,23,240,400
static/data/img/Crucifixion-1930.JPG,22,30,50,217,469
static/data/img/Crucifixion-1930.JPG,23,401,41,205,505
static/data/img/Crucifixion-1930.JPG,23,7,445,301,101
static/data/img/Crucifixion-1930.JPG,23,201,9,271,425
static/data/img/Crucifixion-1930.JPG,23,213,363,227,169
static/data/img/Crucifixion-1930.JPG,24,255,51,168,328
static/data/img/Crucifixion-1930.JPG,26,134,187,93,58
static/data/img/Crucifixion-1930.JPG,26,244,14,159,375
static/data/img/Crucifixion-1930.JPG,26,409,38,214,500
static/data/img/Crucifixion-1930.JPG,26,298,374,125,171
static/data/img/Crucifixion-1930.JPG,26,6,414,242,112
static/data/img/Crucifixion-1930.JPG,28,334,368,73,144
static/data/img/Crucifixion-1930.JPG,28,269,438,72,67
static/data/img/Crucifixion-1930.JPG,28,432,5,214,534
static/data/img/Crucifixion-1930.JPG,28,251,14,177,408
static/data/img/Crucifixion-1930.JPG,28,10,462,232,80
static/data/img/Crucifixion-1930.JPG,28,130,181,100,79
static/data/img/Crucifixion-1930.JPG,28,35,68,202,392
static/data/img/Dora-Maar-1937.JPG,3,21,75,521,599
static/data/img/Dora-Maar-1937.JPG,6,10,51,502,623
static/data/img/Dora-Maar-1937.JPG,18,4,47,536,627
static/data/img/Dora-Maar-1937.JPG,19,28,85,519,587
static/data/img/Dora-Maar-1937.JPG,21,24,31,511,644
static/data/img/Dora-Maar-1937.JPG,22,31,76,455,598
static/data/img/Dora-Maar-1937.JPG,23,21,77,517,593
static/data/img/Dora-Maar-1937.JPG,24,55,93,405,549
static/data/img/Dora-Maar-1937.JPG,26,39,83,434,515
static/data/img/Dora-Maar-1937.JPG,28,55,80,411,594
static/data/img/Dryad-1908.JPG,10,35,89,383,753
static/data/img/Dryad-1908.JPG,13,42,53,411,815
static/data/img/Dryad-1908.JPG,14,16,46,468,822
static/data/img/Dryad-1908.JPG,15,0,39,471,829
static/data/img/Dryad-1908.JPG,16,0,50,489,818
static/data/img/Dryad-1908.JPG,17,62,70,328,790
static/data/img/Dryad-1908.JPG,18,4,49,465,795
static/data/img/Dryad-1908.JPG,19,22,75,451,765
static/data/img/Dryad-1908.JPG,21,35,35,448,832
static/data/img/Dryad-1908.JPG,22,9,50,480,818
static/data/img/Dryad-1908.JPG,23,6,69,483,791
static/data/img/Dryad-1908.JPG,24,50,83,374,732
static/data/img/Dryad-1908.JPG,26,40,70,382,798
static/data/img/El-Bobo.JPG,3,12,17,534,691
static/data/img/El-Bobo.JPG,6,30,39,517,667
static/data/img/El-Bobo.JPG,9,30,61,503,647
static/data/img/El-Bobo.JPG,10,31,51,491,641
static/data/img/El-Bobo.JPG,21,54,21,501,679
static/data/img/El-Bobo.JPG,22,26,74,528,634
static/data/img/El-Bobo.JPG,23,13,67,525,641
static/data/img/El-Bobo.JPG,24,59,85,480,582
static/data/img/El-Bobo.JPG,26,47,64,456,631
static/data/img/El-Bobo.JPG,28,19,50,513,641
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,9,32,85,815,339
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,10,31,28,797,400
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,13,38,8,819,420
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,14,20,34,837,405
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,15,14,9,835,434
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,16,24,2,815,441
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,17,37,31,791,411
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,18,7,7,821,418
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,19,21,86,752,193
static/data/img/Farmer-and-Nude-Surrounded-by-Hens-1938.JPG,19,122,65,681,359
static/data/img/Female-Nude-and-Smoker-1968.JPG,3,1,4,313,758
static/data/img/Female-Nude-and-Smoker-1968.JPG,3,270,4,278,758
static/data/img/Female-Nude-and-Smoker-1968.JPG,6,9,9,317,753
static/data/img/Female-Nude-and-Smoker-1968.JPG,6,26,21,547,733
static/data/img/Female-Nude-and-Smoker-1968.JPG,9,6,9,303,753
static/data/img/Female-Nude-and-Smoker-1968.JPG,9,312,5,282,757
static/data/img/Female-Nude-and-Smoker-1968.JPG,10,9,17,311,737
static/data/img/Female-Nude-and-Smoker-1968.JPG,10,287,31,253,727
static/data/img/Female-Nude-and-Smoker-1968.JPG,21,24,0,267,763
static/data/img/Female-Nude-and-Smoker-1968.JPG,21,303,0,272,763
static/data/img/Female-Nude-and-Smoker-1968.JPG,22,265,7,329,755
static/data/img/Female-Nude-and-Smoker-1968.JPG,22,1,3,518,759
static/data/img/Female-Nude-and-Smoker-1968.JPG,23,7,3,564,751
static/data/img/Female-Nude-and-Smoker-1968.JPG,23,1,3,328,759
static/data/img/Female-Nude-and-Smoker-1968.JPG,24,298,13,245,657
static/data/img/Female-Nude-and-Smoker-1968.JPG,24,58,31,206,633
static/data/img/Female-Nude-and-Smoker-1968.JPG,26,18,30,374,715
static/data/img/Female-Nude-and-Smoker-1968.JPG,26,268,9,318,472
static/data/img/Female-Nude-and-Smoker-1968.JPG,28,0,0,319,760
static/data/img/Female-Nude-and-Smoker-1968.JPG,28,304,5,274,605
static/data/img/Figures-on-a-Beach-1931.JPG,9,8,1,644,417
static/data/img/Figures-on-a-Beach-1931.JPG,10,23,27,373,185
static/data/img/Figures-on-a-Beach-1931.JPG,10,171,55,445,389
static/data/img/Figures-on-a-Beach-1931.JPG,13,54,9,399,358
static/data/img/Figures-on-a-Beach-1931.JPG,13,366,41,235,289
static/data/img/Figures-on-a-Beach-1931.JPG,14,86,13,315,241
static/data/img/Figures-on-a-Beach-1931.JPG,14,13,13,552,418
static/data/img/Figures-on-a-Beach-1931.JPG,15,0,1,554,442
static/data/img/Figures-on-a-Beach-1931.JPG,16,6,15,551,365
static/data/img/Figures-on-a-Beach-1931.JPG,16,0,17,427,367
static/data/img/Figures-on-a-Beach-1931.JPG,17,317,1,248,370
static/data/img/Figures-on-a-Beach-1931.JPG,17,30,7,356,365
static/data/img/Figures-on-a-Beach-1931.JPG,18,10,38,588,365
static/data/img/Figures-on-a-Beach-1931.JPG,18,1,5,446,282
static/data/img/Figures-on-a-Beach-1931.JPG,19,408,61,195,343
static/data/img/Figures-on-a-Beach-1931.JPG,19,10,7,419,439
static/data/img/Figures-on-a-Beach-1931.JPG,21,307,9,277,434
static/data/img/Figures-on-a-Beach-1931.JPG,21,8,6,583,443
static/data/img/Figures-on-a-Beach-1931.JPG,21,102,2,287,205
static/data/img/Figures-on-a-Beach-1931.JPG,22,12,2,537,413
static/data/img/Figures-on-a-Beach-1931.JPG,22,22,16,466,302
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,3,276,290,271,434
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,3,203,20,338,312
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,3,1,125,349,453
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,13,70,145,138,381
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,13,194,33,364,691
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,13,310,276,248,431
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,13,84,136,227,572
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,13,207,525,1,1
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,14,331,256,219,445
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,14,43,89,267,479
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,14,222,14,280,283
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,15,23,125,289,599
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,15,266,283,285,441
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,15,258,39,280,621
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,16,234,263,309,461
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,16,0,107,325,587
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,16,196,25,335,529
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,17,65,167,225,409
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,17,293,40,197,240
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,17,290,298,241,399
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,18,162,22,391,260
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,18,254,262,271,447
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,18,9,133,297,471
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,19,58,149,255,515
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,19,206,35,311,509
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,19,302,301,245,409
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,21,63,41,218,507
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,21,242,10,283,300
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,21,346,221,198,389
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,22,282,302,229,422
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,22,45,128,250,594
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,22,43,27,515,697
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,23,27,149,315,539
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,23,13,33,545,663
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,23,255,311,303,405
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,24,239,14,261,222
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,24,62,130,209,197
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,24,311,301,206,250
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,26,241,46,298,607
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,26,324,279,207,349
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,26,52,153,211,384
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,28,202,43,339,342
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,28,22,140,313,531
static/data/img/Francoise-Claude-and-Paloma-1951.JPG,28,301,311,222,413
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,6,33,42,473,454
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,6,283,269,237,295
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,6,91,279,308,412
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,9,112,299,267,429
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,9,302,259,209,309
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,9,28,91,501,253
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,10,297,291,233,251
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,10,45,73,475,465
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,10,57,341,249,337
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,13,25,28,505,472
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,13,295,284,264,323
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,13,58,318,332,383
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,14,307,245,178,321
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,14,43,28,508,489
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,14,71,262,335,444
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,24,78,285,201,387
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,24,84,73,344,197
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,24,304,270,221,281
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,26,76,25,443,533
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,26,310,267,185,292
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,26,104,279,204,443
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,28,28,287,340,429
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,28,13,58,507,436
static/data/img/Francoise-Claude-and-Paloma-1954.JPG,28,289,263,234,296
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,9,354,253,333,301
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,9,4,11,307,239
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,9,0,255,347,287
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,10,345,51,385,269
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,10,383,289,305,255
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,10,13,277,273,243
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,10,57,27,233,267
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,13,361,260,312,278
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,13,43,10,266,246
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,13,3,252,346,304
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,14,23,5,269,250
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,14,328,235,362,321
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,14,13,268,337,255
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,15,4,257,351,275
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,15,348,243,361,313
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,15,36,7,694,353
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,16,14,3,716,363
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,16,0,265,353,291
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,16,354,255,339,291
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,26,28,9,665,244
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,26,339,231,332,325
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,26,5,242,342,290
static/data/img/Francoise-Gilot-with-Claude-and-Paloma-1951.JPG,28,5,259,341,258
